station_name,station_code,capacity,grid_connection_date,raw_keys
Bombeiros Rio Maior,NE=139806525,,2023-02-06T17:27:57+00:00,"capacity, contactMethod, contactPerson, gridConnectionDate, latitude, longitude, plantAddress, plantCode, plantName"
Presuntos Lourenço 2,NE=139401017,307.8,2022-10-14T14:57:14+00:00,"capacity, contactMethod, contactPerson, gridConnectionDate, latitude, longitude, plantAddress, plantCode, plantName"
Moviportas Sede,NE=139130164,147.15,2022-08-22T13:55:50+00:00,"capacity, contactMethod, contactPerson, gridConnectionDate, latitude, longitude, plantAddress, plantCode, plantName"
Centro Social Alferrarede - Creche,NE=139931709,16.17,2023-03-14T17:08:42+00:00,"capacity, contactMethod, contactPerson, gridConnectionDate, latitude, longitude, plantAddress, plantCode, plantName"
EBI Boa Água,NE=140089417,51.7,2023-04-28T13:35:24+00:00,"capacity, contactMethod, contactPerson, gridConnectionDate, latitude, longitude, plantAddress, plantCode, plantName"
Museu do Caramulo,NE=138945849,26.18,2020-08-06T00:00:00+00:00,"capacity, contactMethod, contactPerson, gridConnectionDate, latitude, longitude, plantAddress, plantCode, plantName"
Maryasa 1,NE=140105275,129.6,2023-05-04T11:49:28+00:00,"capacity, contactMethod, contactPerson, gridConnectionDate, latitude, longitude, plantAddress, plantCode, plantName"
ARIPSI,NE=139832643,73.5,2023-02-14T14:02:59+00:00,"capacity, contactMethod, contactPerson, gridConnectionDate, latitude, longitude, plantAddress, plantCode, plantName"
Colégio Nossa Senhora da Apresentação,NE=141523782,111.3,2021-10-18T14:28:48+00:00,"capacity, contactMethod, contactPerson, gridConnectionDate, latitude, longitude, plantAddress, plantCode, plantName"
Intermarché da Moita,NE=141378626,183.6,2021-09-17T16:14:52+00:00,"capacity, contactMethod, contactPerson, gridConnectionDate, latitude, longitude, plantAddress, plantCode, plantName"
